game_id,unique_codes,transitions,codes_list
2025020179,6,23,"1441,1451,1460,1541,1551,1560"
2025020397,6,23,"0551,1441,1451,1541,1551,1560"
2025020423,6,23,"1351,1441,1451,1541,1550,1551"
2025020429,6,23,"1331,1431,1441,1451,1541,1551"
2025020240,6,22,"1441,1451,1531,1541,1551,1560"
2025020409,6,22,"1441,1451,1460,1541,1551,1560"
2025020675,6,22,"0651,1351,1451,1541,1551,1560"
2025020019,6,21,"0651,1441,1451,1541,1551,1560"
2025020064,6,21,"0651,1341,1441,1451,1541,1551"
2025020065,6,21,"0651,1441,1451,1541,1551,1560"
2025020361,6,21,"1351,1441,1451,1541,1551,1560"
2025020447,6,21,"1351,1441,1451,1541,1551,1560"
2025020532,6,21,"0651,1441,1451,1541,1551,1560"
2025020633,6,21,"1441,1451,1460,1541,1551,1560"
2025020032,6,20,"0651,1331,1451,1541,1551,1560"
2025020057,6,20,"0641,0651,1451,1531,1541,1551"
2025020074,6,20,"1331,1341,1441,1451,1541,1551"
2025020116,6,20,"0651,1331,1451,1531,1541,1551"
2025020233,6,20,"1441,1451,1460,1541,1551,1560"
2025020295,6,20,"0641,0651,1441,1451,1541,1551"
2025020506,6,20,"0651,1441,1451,1541,1551,1560"
2025020599,6,20,"1441,1451,1531,1541,1551,1560"
2025020632,6,20,"0551,0651,1441,1451,1541,1551"
2025020680,6,20,"0641,0651,1441,1451,1541,1551"
2025020775,6,20,"1441,1451,1460,1541,1551,1560"
2025020018,6,19,"0651,1451,1460,1541,1551,1560"
2025020246,6,19,"1431,1441,1451,1541,1551,1560"
2025020299,6,19,"0651,1451,1531,1541,1551,1560"
2025020445,6,19,"0651,1451,1460,1541,1551,1560"
2025020465,6,19,"0651,1451,1460,1541,1551,1560"
2025020545,6,19,"1351,1451,1460,1541,1551,1560"
2025020671,6,19,"0641,0651,1451,1541,1551,1560"
2025020696,6,19,"0641,0651,1441,1451,1541,1551"
2025020840,6,19,"0641,0651,1441,1451,1541,1551"
2025020014,6,18,"0651,1441,1451,1541,1551,1560"
2025020022,6,18,"0641,0651,1441,1451,1541,1551"
2025020035,6,18,"0641,0651,1441,1451,1541,1551"
2025020119,6,18,"1331,1451,1531,1541,1551,1560"
2025020611,6,18,"0651,1451,1460,1541,1551,1560"
2025020700,6,18,"0651,1331,1341,1451,1541,1551"
2025020771,6,18,"1341,1351,1441,1451,1541,1551"
2025020813,6,18,"1451,1460,1531,1541,1551,1560"
2025020069,6,17,"0551,0651,1351,1451,1541,1551"
2025020261,6,17,"0641,0651,1331,1451,1541,1551"
2025020401,6,17,"1331,1451,1460,1541,1551,1560"
2025020457,6,17,"1441,1450,1451,1541,1551,1560"
2025020466,6,17,"1441,1451,1460,1541,1551,1560"
2025020509,6,17,"0651,1331,1451,1541,1551,1560"
2025020621,6,17,"1441,1451,1460,1541,1551,1560"
2025020648,6,17,"0651,1441,1451,1531,1541,1551"
2025020732,6,17,"0101,0651,1451,1541,1551,1560"
2025020754,6,17,"1351,1431,1441,1451,1541,1551"
2025020772,6,17,"0651,1451,1460,1541,1551,1560"
2025020779,6,17,"0651,1441,1451,1531,1541,1551"
2025020795,6,17,"0651,1441,1451,1541,1551,1560"
2025020128,6,16,"0651,1441,1451,1541,1551,1560"
2025020155,6,16,"0651,1441,1451,1541,1551,1560"
2025020172,6,16,"1331,1451,1460,1541,1551,1560"
2025020205,6,16,"1331,1341,1441,1451,1541,1551"
2025020248,6,16,"0651,1441,1451,1531,1541,1551"
2025020257,6,16,"0651,1351,1451,1541,1551,1560"
2025020298,6,16,"1331,1341,1441,1451,1541,1551"
2025020300,6,16,"0641,0651,1441,1451,1541,1551"
2025020333,6,16,"1441,1451,1460,1541,1551,1560"
2025020359,6,16,"0651,1451,1460,1541,1551,1560"
2025020411,6,16,"0651,1441,1451,1541,1551,1560"
2025020415,6,16,"0651,1331,1451,1541,1551,1560"
2025020419,6,16,"0651,1331,1441,1451,1541,1551"
2025020430,6,16,"0641,0651,1441,1451,1541,1551"
2025020481,6,16,"0651,1441,1451,1541,1551,1560"
2025020558,6,16,"0651,1441,1451,1541,1551,1560"
2025020603,6,16,"0651,1341,1441,1451,1541,1551"
2025020647,6,16,"0641,0651,1451,1541,1551,1560"
2025020701,6,16,"0651,1010,1351,1451,1541,1551"
2025020744,6,16,"0641,0651,1451,1531,1541,1551"
2025020832,6,16,"1341,1441,1451,1541,1551,1560"
2025020026,6,15,"0651,1451,1460,1541,1551,1560"
2025020077,6,15,"1010,1451,1531,1541,1551,1560"
2025020138,6,15,"0651,1341,1441,1451,1541,1551"
2025020142,6,15,"1331,1451,1460,1541,1551,1560"
2025020194,6,15,"1441,1450,1451,1541,1551,1560"
