period,secondsIntoPeriod,secondsElapsedGame,situationCode,strength,awayGoalie,awaySkaterCount,awaySkaters,homeSkaterCount,homeGoalie,homeSkaters
1,109,109,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,110,110,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,111,111,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,112,112,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,113,113,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,114,114,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,115,115,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,116,116,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,117,117,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,118,118,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,119,119,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,120,120,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,121,121,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,122,122,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,123,123,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,124,124,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,125,125,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,126,126,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,127,127,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,128,128,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,129,129,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,130,130,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,131,131,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,132,132,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,133,133,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,134,134,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,135,135,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,136,136,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,137,137,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,138,138,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,139,139,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,140,140,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,141,141,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,142,142,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,143,143,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,144,144,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475462|8477527|8478424|8480068|8482803
1,145,145,1551,5v5,8479193,5,8476902|8478476|8480027|8480878|8484829,5,8480843,8475462|8477527|8478424|8480068|8482803
1,146,146,1551,5v5,8479193,5,8476278|8476902|8478476|8480878|8484829,5,8480843,8475462|8477527|8478424|8481754|8482803
1,147,147,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8475462|8481754|8482178|8482803|8485512
1,148,148,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8475462|8481754|8482178|8482803|8485512
1,149,149,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8475462|8481754|8482178|8482803|8485512
1,150,150,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8475462|8481754|8482178|8483490|8485512
1,151,151,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8475462|8481754|8482178|8483490|8485512
1,152,152,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,153,153,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,154,154,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,155,155,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,156,156,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,157,157,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,158,158,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,159,159,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
1,160,160,1551,5v5,8479193,5,8476278|8476889|8476902|8480878|8484829,5,8480843,8481563|8481754|8482178|8483490|8485512
